Country,Students
Argentina,1
Australia,2
Austria,1
Bangladesh,4
Bolivia,2
Bosnia and Herzegovina,1
Botswana,4
Brazil,3
Burundi,1
Cambodia,2
Cameroon,2
Canada,20
Chile,1
China,19
Colombia,1
Costa Rica,3
Ecuador,3
Egypt,3
Ethiopia,2
France,5
Georgia,1
Germany,1
Ghana,1
Greece,1
Guatemala,2
Hong Kong,7
India,5
Jamaica,1
Japan,3
Jordan,2
Kenya,5
Republic of Korea,15
Kuwait,1
Lebanon,2
Madagascar,1
Malawi,2
Malaysia,1
Mauritius,2
Mongolia,3
Nepal,4
Netherlands,1
Nigeria,2
Norway,2
Pakistan,3
Philippines,5
Puerto Rico,1
Qatar,1
Russian Federation,1
Saudi Arabia,1
Singapore,4
Spain,2
Sri Lanka,1
Sudan,1
Swaziland,1
Switzerland,2
Syrian Arab Republic,1
Thailand,2
Tunisia,1
Turkey,5
Uganda,3
United Arab Emirates,2
United Kingdom,9
Uruguay,1
Venezuela,1
Viet Nam,6
Yemen,2
Zimbabwe,2
